Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.604000	 1.319598 	 numero de thread:0
0.608000	 1.325646 	 numero de thread:0
0.612000	 1.331707 	 numero de thread:0
0.616000	 1.337778 	 numero de thread:0
0.620000	 1.343862 	 numero de thread:0
0.624000	 1.349958 	 numero de thread:0
0.628000	 1.356066 	 numero de thread:0
0.632000	 1.362187 	 numero de thread:0
0.636000	 1.368319 	 numero de thread:0
0.640000	 1.374464 	 numero de thread:0
0.644000	 1.380622 	 numero de thread:0
0.648000	 1.386793 	 numero de thread:0
0.652000	 1.392976 	 numero de thread:0
0.656000	 1.399172 	 numero de thread:0
0.660000	 1.405381 	 numero de thread:0
0.664000	 1.411604 	 numero de thread:0
0.668000	 1.417839 	 numero de thread:0
0.672000	 1.424088 	 numero de thread:0
0.676000	 1.430351 	 numero de thread:0
0.680000	 1.436627 	 numero de thread:0
0.684000	 1.442917 	 numero de thread:0
0.688000	 1.449221 	 numero de thread:0
0.692000	 1.455539 	 numero de thread:0
0.696000	 1.461871 	 numero de thread:0
0.700000	 1.468217 	 numero de thread:0
0.704000	 1.474578 	 numero de thread:0
0.708000	 1.480953 	 numero de thread:0
0.712000	 1.487343 	 numero de thread:0
0.716000	 1.493747 	 numero de thread:0
0.720000	 1.500167 	 numero de thread:0
0.724000	 1.506601 	 numero de thread:0
0.728000	 1.513051 	 numero de thread:0
0.732000	 1.519516 	 numero de thread:0
0.736000	 1.525997 	 numero de thread:0
0.740000	 1.532494 	 numero de thread:0
0.744000	 1.539006 	 numero de thread:0
0.748000	 1.545534 	 numero de thread:0
0.752000	 1.552078 	 numero de thread:0
0.756000	 1.558639 	 numero de thread:0
0.760000	 1.565215 	 numero de thread:0
0.764000	 1.571809 	 numero de thread:0
0.768000	 1.578419 	 numero de thread:0
0.772000	 1.585046 	 numero de thread:0
0.776000	 1.591690 	 numero de thread:0
0.780000	 1.598352 	 numero de thread:0
0.784000	 1.605031 	 numero de thread:0
0.788000	 1.611727 	 numero de thread:0
0.792000	 1.618441 	 numero de thread:0
0.796000	 1.625173 	 numero de thread:0
0.800000	 1.631923 	 numero de thread:0
0.804000	 1.638692 	 numero de thread:0
0.808000	 1.645479 	 numero de thread:0
0.812000	 1.652284 	 numero de thread:0
0.816000	 1.659108 	 numero de thread:0
0.820000	 1.665952 	 numero de thread:0
0.824000	 1.672814 	 numero de thread:0
0.828000	 1.679696 	 numero de thread:0
0.832000	 1.686598 	 numero de thread:0
0.836000	 1.693519 	 numero de thread:0
0.840000	 1.700460 	 numero de thread:0
0.844000	 1.707422 	 numero de thread:0
0.848000	 1.714404 	 numero de thread:0
0.852000	 1.721407 	 numero de thread:0
0.856000	 1.728430 	 numero de thread:0
0.860000	 1.735475 	 numero de thread:0
0.864000	 1.742540 	 numero de thread:0
0.868000	 1.749628 	 numero de thread:0
0.872000	 1.756737 	 numero de thread:0
0.876000	 1.763868 	 numero de thread:0
0.880000	 1.771021 	 numero de thread:0
0.884000	 1.778197 	 numero de thread:0
0.888000	 1.785395 	 numero de thread:0
0.892000	 1.792616 	 numero de thread:0
0.896000	 1.799861 	 numero de thread:0
0.900000	 1.807129 	 numero de thread:0
0.904000	 1.814420 	 numero de thread:0
0.908000	 1.821736 	 numero de thread:0
0.912000	 1.829075 	 numero de thread:0
0.916000	 1.836439 	 numero de thread:0
0.920000	 1.843828 	 numero de thread:0
0.924000	 1.851242 	 numero de thread:0
0.928000	 1.858681 	 numero de thread:0
0.932000	 1.866146 	 numero de thread:0
0.936000	 1.873636 	 numero de thread:0
0.940000	 1.881153 	 numero de thread:0
0.944000	 1.888696 	 numero de thread:0
0.948000	 1.896266 	 numero de thread:0
0.952000	 1.903863 	 numero de thread:0
0.956000	 1.911487 	 numero de thread:0
0.960000	 1.919139 	 numero de thread:0
0.964000	 1.926819 	 numero de thread:0
0.968000	 1.934527 	 numero de thread:0
0.972000	 1.942263 	 numero de thread:0
0.976000	 1.950029 	 numero de thread:0
0.980000	 1.957824 	 numero de thread:0
0.984000	 1.965648 	 numero de thread:0
0.988000	 1.973503 	 numero de thread:0
0.992000	 1.981388 	 numero de thread:0
0.996000	 1.989303 	 numero de thread:0
1.000000	 1.997250 	 numero de thread:0
1.004000	 2.005228 	 numero de thread:0
1.008000	 2.013238 	 numero de thread:0
1.012000	 2.021280 	 numero de thread:0
1.016000	 2.029354 	 numero de thread:0
1.020000	 2.037462 	 numero de thread:0
1.024000	 2.045603 	 numero de thread:0
1.028000	 2.053778 	 numero de thread:0
1.032000	 2.061986 	 numero de thread:0
1.036000	 2.070230 	 numero de thread:0
1.040000	 2.078508 	 numero de thread:0
1.044000	 2.086822 	 numero de thread:0
1.048000	 2.095172 	 numero de thread:0
1.052000	 2.103559 	 numero de thread:0
1.056000	 2.111982 	 numero de thread:0
1.060000	 2.120442 	 numero de thread:0
1.064000	 2.128940 	 numero de thread:0
1.068000	 2.137477 	 numero de thread:0
1.072000	 2.146052 	 numero de thread:0
1.076000	 2.154666 	 numero de thread:0
1.080000	 2.163320 	 numero de thread:0
1.084000	 2.172015 	 numero de thread:0
1.088000	 2.180750 	 numero de thread:0
1.092000	 2.189526 	 numero de thread:0
1.096000	 2.198344 	 numero de thread:0
1.100000	 2.207205 	 numero de thread:0
1.104000	 2.216109 	 numero de thread:0
1.108000	 2.225056 	 numero de thread:0
1.112000	 2.234047 	 numero de thread:0
1.116000	 2.243083 	 numero de thread:0
1.120000	 2.252164 	 numero de thread:0
1.124000	 2.261291 	 numero de thread:0
1.128000	 2.270465 	 numero de thread:0
1.132000	 2.279686 	 numero de thread:0
1.136000	 2.288955 	 numero de thread:0
1.140000	 2.298272 	 numero de thread:0
1.144000	 2.307638 	 numero de thread:0
1.148000	 2.317055 	 numero de thread:0
1.152000	 2.326521 	 numero de thread:0
1.156000	 2.336039 	 numero de thread:0
1.160000	 2.345609 	 numero de thread:0
1.164000	 2.355232 	 numero de thread:0
1.168000	 2.364908 	 numero de thread:0
1.172000	 2.374638 	 numero de thread:0
1.176000	 2.384424 	 numero de thread:0
1.180000	 2.394265 	 numero de thread:0
1.184000	 2.404163 	 numero de thread:0
1.188000	 2.414118 	 numero de thread:0
1.192000	 2.424131 	 numero de thread:0
1.196000	 2.434204 	 numero de thread:0
1.200000	 2.444337 	 numero de thread:0
1.204000	 2.454530 	 numero de thread:0
1.208000	 2.464785 	 numero de thread:0
1.212000	 2.475103 	 numero de thread:0
1.216000	 2.485485 	 numero de thread:0
1.220000	 2.495932 	 numero de thread:0
1.224000	 2.506444 	 numero de thread:0
1.228000	 2.517022 	 numero de thread:0
1.232000	 2.527668 	 numero de thread:0
1.236000	 2.538384 	 numero de thread:0
1.240000	 2.549168 	 numero de thread:0
1.244000	 2.560024 	 numero de thread:0
1.248000	 2.570952 	 numero de thread:0
1.252000	 2.581952 	 numero de thread:0
1.256000	 2.593028 	 numero de thread:0
1.260000	 2.604178 	 numero de thread:0
1.264000	 2.615405 	 numero de thread:0
1.268000	 2.626711 	 numero de thread:0
1.272000	 2.638095 	 numero de thread:0
1.276000	 2.649560 	 numero de thread:0
1.280000	 2.661107 	 numero de thread:0
1.284000	 2.672736 	 numero de thread:0
1.288000	 2.684451 	 numero de thread:0
1.292000	 2.696251 	 numero de thread:0
1.296000	 2.708139 	 numero de thread:0
1.300000	 2.720115 	 numero de thread:0
1.304000	 2.732182 	 numero de thread:0
1.308000	 2.744341 	 numero de thread:0
1.312000	 2.756593 	 numero de thread:0
1.316000	 2.768941 	 numero de thread:0
1.320000	 2.781385 	 numero de thread:0
1.324000	 2.793927 	 numero de thread:0
1.328000	 2.806570 	 numero de thread:0
1.332000	 2.819315 	 numero de thread:0
1.336000	 2.832163 	 numero de thread:0
1.340000	 2.845117 	 numero de thread:0
1.344000	 2.858179 	 numero de thread:0
1.348000	 2.871350 	 numero de thread:0
1.352000	 2.884632 	 numero de thread:0
1.356000	 2.898028 	 numero de thread:0
1.360000	 2.911539 	 numero de thread:0
1.364000	 2.925168 	 numero de thread:0
1.368000	 2.938917 	 numero de thread:0
1.372000	 2.952789 	 numero de thread:0
1.376000	 2.966784 	 numero de thread:0
1.380000	 2.980906 	 numero de thread:0
1.384000	 2.995158 	 numero de thread:0
1.388000	 3.009541 	 numero de thread:0
1.392000	 3.024059 	 numero de thread:0
1.396000	 3.038713 	 numero de thread:0
1.400000	 3.053507 	 numero de thread:0
1.404000	 3.068444 	 numero de thread:0
1.408000	 3.083525 	 numero de thread:0
1.412000	 3.098755 	 numero de thread:0
1.416000	 3.114135 	 numero de thread:0
1.420000	 3.129670 	 numero de thread:0
1.424000	 3.145362 	 numero de thread:0
1.428000	 3.161214 	 numero de thread:0
1.432000	 3.177230 	 numero de thread:0
1.436000	 3.193414 	 numero de thread:0
1.440000	 3.209768 	 numero de thread:0
1.444000	 3.226296 	 numero de thread:0
1.448000	 3.243002 	 numero de thread:0
1.452000	 3.259891 	 numero de thread:0
1.456000	 3.276964 	 numero de thread:0
1.460000	 3.294228 	 numero de thread:0
1.464000	 3.311686 	 numero de thread:0
1.468000	 3.329341 	 numero de thread:0
1.472000	 3.347200 	 numero de thread:0
1.476000	 3.365265 	 numero de thread:0
1.480000	 3.383543 	 numero de thread:0
1.484000	 3.402036 	 numero de thread:0
1.488000	 3.420752 	 numero de thread:0
1.492000	 3.439694 	 numero de thread:0
1.496000	 3.458868 	 numero de thread:0
1.500000	 3.478279 	 numero de thread:0
1.504000	 3.497934 	 numero de thread:0
1.508000	 3.517837 	 numero de thread:0
1.512000	 3.537995 	 numero de thread:0
1.516000	 3.558413 	 numero de thread:0
1.520000	 3.579099 	 numero de thread:0
1.524000	 3.600059 	 numero de thread:0
1.528000	 3.621299 	 numero de thread:0
1.532000	 3.642826 	 numero de thread:0
1.536000	 3.664649 	 numero de thread:0
1.540000	 3.686773 	 numero de thread:0
1.544000	 3.709208 	 numero de thread:0
1.548000	 3.731960 	 numero de thread:0
1.552000	 3.755039 	 numero de thread:0
1.556000	 3.778453 	 numero de thread:0
1.560000	 3.802210 	 numero de thread:0
1.564000	 3.826320 	 numero de thread:0
1.568000	 3.850792 	 numero de thread:0
1.572000	 3.875637 	 numero de thread:0
1.576000	 3.900864 	 numero de thread:0
1.580000	 3.926484 	 numero de thread:0
1.584000	 3.952508 	 numero de thread:0
1.588000	 3.978947 	 numero de thread:0
1.592000	 4.005813 	 numero de thread:0
1.596000	 4.033119 	 numero de thread:0
1.600000	 4.060878 	 numero de thread:0
1.604000	 4.089101 	 numero de thread:0
1.608000	 4.117804 	 numero de thread:0
1.612000	 4.147001 	 numero de thread:0
1.616000	 4.176706 	 numero de thread:0
1.620000	 4.206934 	 numero de thread:0
1.624000	 4.237703 	 numero de thread:0
1.628000	 4.269029 	 numero de thread:0
1.632000	 4.300929 	 numero de thread:0
1.636000	 4.333422 	 numero de thread:0
1.640000	 4.366526 	 numero de thread:0
1.644000	 4.400262 	 numero de thread:0
1.648000	 4.434650 	 numero de thread:0
1.652000	 4.469712 	 numero de thread:0
1.656000	 4.505470 	 numero de thread:0
1.660000	 4.541948 	 numero de thread:0
1.664000	 4.579170 	 numero de thread:0
1.668000	 4.617163 	 numero de thread:0
1.672000	 4.655953 	 numero de thread:0
1.676000	 4.695569 	 numero de thread:0
1.680000	 4.736040 	 numero de thread:0
1.684000	 4.777398 	 numero de thread:0
1.688000	 4.819674 	 numero de thread:0
1.692000	 4.862904 	 numero de thread:0
1.696000	 4.907122 	 numero de thread:0
1.700000	 4.952368 	 numero de thread:0
1.704000	 4.998679 	 numero de thread:0
1.708000	 5.046099 	 numero de thread:0
1.712000	 5.094670 	 numero de thread:0
1.716000	 5.144440 	 numero de thread:0
1.720000	 5.195457 	 numero de thread:0
1.724000	 5.247772 	 numero de thread:0
1.728000	 5.301440 	 numero de thread:0
1.732000	 5.356518 	 numero de thread:0
1.736000	 5.413067 	 numero de thread:0
1.740000	 5.471150 	 numero de thread:0
1.744000	 5.530836 	 numero de thread:0
1.748000	 5.592196 	 numero de thread:0
1.752000	 5.655308 	 numero de thread:0
1.756000	 5.720251 	 numero de thread:0
1.760000	 5.787112 	 numero de thread:0
1.764000	 5.855983 	 numero de thread:0
1.768000	 5.926960 	 numero de thread:0
1.772000	 6.000148 	 numero de thread:0
1.776000	 6.075657 	 numero de thread:0
1.780000	 6.153605 	 numero de thread:0
1.784000	 6.234118 	 numero de thread:0
1.788000	 6.317333 	 numero de thread:0
1.792000	 6.403392 	 numero de thread:0
1.796000	 6.492452 	 numero de thread:0
1.800000	 6.584678 	 numero de thread:0
1.804000	 6.680251 	 numero de thread:0
1.808000	 6.779362 	 numero de thread:0
1.812000	 6.882220 	 numero de thread:0
1.816000	 6.989049 	 numero de thread:0
1.820000	 7.100090 	 numero de thread:0
1.824000	 7.215608 	 numero de thread:0
1.828000	 7.335886 	 numero de thread:0
1.832000	 7.461233 	 numero de thread:0
1.836000	 7.591986 	 numero de thread:0
1.840000	 7.728511 	 numero de thread:0
1.844000	 7.871210 	 numero de thread:0
1.848000	 8.020519 	 numero de thread:0
1.852000	 8.176919 	 numero de thread:0
1.856000	 8.340937 	 numero de thread:0
1.860000	 8.513155 	 numero de thread:0
1.864000	 8.694212 	 numero de thread:0
1.868000	 8.884820 	 numero de thread:0
1.872000	 9.085763 	 numero de thread:0
1.876000	 9.297916 	 numero de thread:0
1.880000	 9.522255 	 numero de thread:0
1.884000	 9.759872 	 numero de thread:0
1.888000	 10.011989 	 numero de thread:0
1.892000	 10.279986 	 numero de thread:0
1.896000	 10.565419 	 numero de thread:0
1.900000	 10.870055 	 numero de thread:0
1.904000	 11.195902 	 numero de thread:0
1.908000	 11.545260 	 numero de thread:0
1.912000	 11.920767 	 numero de thread:0
1.916000	 12.325469 	 numero de thread:0
1.920000	 12.762897 	 numero de thread:0
1.924000	 13.237170 	 numero de thread:0
1.928000	 13.753122 	 numero de thread:0
1.932000	 14.316456 	 numero de thread:0
1.936000	 14.933955 	 numero de thread:0
1.940000	 15.613742 	 numero de thread:0
1.944000	 16.365627 	 numero de thread:0
1.948000	 17.201560 	 numero de thread:0
1.952000	 18.136244 	 numero de thread:0
1.956000	 19.187963 	 numero de thread:0
1.960000	 20.379726 	 numero de thread:0
1.964000	 21.740871 	 numero de thread:0
1.968000	 23.309369 	 numero de thread:0
1.972000	 25.135186 	 numero de thread:0
1.976000	 27.285318 	 numero de thread:0
1.980000	 29.851565 	 numero de thread:0
1.984000	 32.962861 	 numero de thread:0
1.988000	 36.805620 	 numero de thread:0
1.992000	 41.658687 	 numero de thread:0
1.996000	 47.956472 	 numero de thread:0
2.000000	 56.409931 	 numero de thread:0
